arquivo,status,linhas_lidas,linhas_filtradas,resolvidas,nao_resolvidas,ano_min,ano_max,encoding,sep,skiprows,saida
basecompleta2022-02.csv,ok,137954,59225,30915,28310,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-02.parquet
basecompleta2022-03.csv,ok,143572,66052,33996,32056,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-03.parquet
basecompleta2022-04.csv,ok,154493,57002,29672,27330,2022,2022,latin1,'\t',0,data/processed/parts/basecompleta2022-04.parquet
basecompleta2022-05.csv,ok,125772,52459,29407,23052,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-05.parquet
basecompleta2022-06.csv,ok,103068,49569,27990,21579,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-06.parquet
basecompleta2022-07.csv,ok,100319,49298,28557,20741,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-07.parquet
basecompleta2022-08.csv,ok,112017,56564,32664,23900,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-08.parquet
basecompleta2022-09.csv,ok,106150,49972,27887,22085,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-09.parquet
basecompleta2022-10.csv,ok,100335,46289,26617,19672,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-10.parquet
basecompleta2022-11.csv,ok,102377,46640,26319,20321,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-11.parquet
basecompleta2022-12.csv,ok,114931,50386,28707,21679,2022,2022,utf-8-sig,';',0,data/processed/parts/basecompleta2022-12.parquet
basecompleta2023-01.csv,ok,112608,54676,30999,23677,2023,2023,utf-8-sig,';',0,data/processed/parts/basecompleta2023-01.parquet
